★彡彡 Article 1 - Contravention ミミ★

Usage abusif du klaxon (Contravention); amande: 2000 pas de temps de prison
Circulation à contre-sens (Contravention);2500 pas de temps de prison
Circulation hors-route (Contravention);7500 pas de temps de prison
Stationnement dangereux / interdit (Contravention);2500 pas de temps de prison
Non respect d'un feu rouge/stop (Contravention);2500 pas de temps de prison
Dépassement dangereux (Contravention);500 pas de temps de prison
Véhicule non en état (Contravention);3500 pas de temps de prison
Excès de vitesse <15km/h (Contravention);1500 pas de temps de prison
Excès de vitesse 15-30km/h (Contravention);3000 pas de temps de prison
Excès de vitesse >50km/h (Contravention);5000 pas de temps de prison
Dégradation de la voie publique (Contravention);2500 pas de temps de prison
Entrave à la circulation (Contravention);2500 pas de temps de prison
Atteinte à la pudeur (Contravention);1500 pas de temps de prison
Défaut de permis (Contravention);2500 pas de temps de prison
Incitation à la haine (Contravention);2500 pas de temps de prison

★彡彡 Article 2 - (Délits mineurs) ミミ★

Dissimulation du visage (Délit mineur);7500; 10 Mins de prison
Défaut de permis (Délit mineur);3000;10 Mins de prison
Outrage à agent (Délit mineur);7500;10 Mins de prison
Outrage à la cour (Délit mineur);10000;10 Mins de prison
Mise en danger de la vie d'autrui (Délit mineur);20000;10 Mins de prison
Port d'arme illégal légère (Délit mineur);20000;10 Mins de prison
Exhibition d'arme de catégorie A (Délit mineur);5000;15 Mins de prison
Trouble à l'ordre publique (Délit mineur);2500;10 Mins de prison
Refus d'optempérer (Délit mineur);8000;10 Mins de prison
Menace verbale / intimidation envers agent de l'état (Délit mineur);15000;5 Mins de prison
Possession d'argent sale (x2 Possession) (Délit mineur);0;5 Mins de prison
Manifestation illégale (Délit mineur);7500;10 Mins de prison
Vol (Délit mineur);20000;5 Mins de prison
Braquage de supérette (Délit mineur);15000;15 Mins de prison
Cambriolage (Délit mineur);15000;10 Mins de prison
Possession de drogue >5 (Délit mineur);10000;15 Mins de prison
Usurpation d'identité (Délit mineur);25000;10 Mins de prison
Entrave au secours (Délit mineur);7500;10 Mins de prison
Attroupement illégal (Délit mineur);10000;10 Mins de prison
Embuscade (Délit mineur);20000;10 Mins de prison
Faux à une administration (Délit mineur);100000;10 Mins de prison
Course illégale (Délit mineur);20000;10 Mins de prison
Exhibition d'arme de catégorie B/C (Délit mineur);12500;10 Mins de prison
Intrusion (Délit mineur);12500;10 Mins de prison
Port du Gilet Pare-Balle (Délit mineur);15000;10 Mins de prison
Violence Physique légére (Délit mineur);20000;10 Mins de prison
Violence Physique légére sur agent de l'état (Délit mineur);25000;10 Mins de prison
Tentative de corruption (Délit mineur);6000;10 Mins de prison


★彡彡 Article 3 - (Délits majeurs) ミミ★

Violence physique aggravée (Délit majeur);35000;20 Mins de prison
Violence physique aggravée sur agent de l'état (Délit majeur);40000;25 Mins de prison
Fabrication de drogue (Délit majeur);45000;20 Mins de prison
Vente de drogue (Délit majeur);10000;20 Mins de prison
Escroquerie à l'entreprise (Délit majeur);30000;10 Mins de prison
Entrave à une opération de police (Délit majeur);15000;10 Mins de prison
Refus d'identification (Délit majeur);7500;10 Mins de prison
Évasion (Délit majeur);40000;20 Mins de prison
Entrave à la justice (Délit majeur);40000;15 Mins de prison
Tentative de kidnapping (Délit majeur);7500;15 Mins de prison
Parjure (Délit majeur);15000;20 Mins de prison
Braquage de Bijoutrie (Délit majeur);50000;25 Mins de prison
Braquage de Fleeca (Délit majeur);55000;25 Mins de prison
Abus de pouvoir (Délit majeur);50000;20 Mins de prison
Port d'arme illégale lourde (Délit majeur);35000;15 Mins de prison
Exhibition d'arme de catégorie D/E (Délit majeur);45000;10 Mins de prison
Trahison (INDIC);50000;20 Mins de prison
Appartenance à une organisation criminelle (Délit majeur);50000;20 Mins de prison

★彡彡 Article 4 - (Crimes)ミミ★;

Prise d'otage (Crime);35000;20 Mins de prison
Prise d'otage sur agent de l'état (Crime);55000;25 Mins de prison
Trafic d'arme (Crime);50000;35 Mins de prison
Complicité de meurtre (Crime);50000;40 Mins de prison
Tentative de meurtre sur civil (Crime);45000;40 Mins de prison
Tir sur Civil (Crime);50000;20 Mins de prison
Tir sur agent de l'état (Crime);50000;20 Mins de prison
Tentative de meurtre sur agent de l'état (Crime);50000;25 Mins de prison
Kidnapping (Crime);40000;20 Mins de prison
Braquage de banque (Crime);65000;30 Mins de prison
Sédition (Crime);100000;20 Mins de prison
Attaque de Convoi Gouvernemental (Crime);100000;30 Mins de prison
★彡彡 Article 5 - (Crimes++)ミミ★

Meurtre sur civil (Peine fédérale)
Meurtre sur agent de l'état (Peine fédérale)
Terrorisme (Peine fédérale)
Haute Trahison (Peine fédérale)
